Program ParDeg inputSize wmName tComputation tTotal
grPPi 128 1499 blotches-15.png 7768268 7898897
grPPiMemory 128 1499 blotches-15.png 3684129 14100425
grPPi 256 1499 blotches-15.png 8048934 8180920
grPPiMemory 256 1499 blotches-15.png 3016823 13438840
grPPi 1 1499 plasma-11.png 514139496 514273149
grPPiMemory 1 1499 plasma-11.png 265278374 275785362
grPPi 2 1499 plasma-11.png 263031548 263162064
grPPiMemory 2 1499 plasma-11.png 135591471 146078184
grPPi 4 1499 plasma-11.png 135798703 135929663
grPPiMemory 4 1499 plasma-11.png 69543404 80190128
grPPi 8 1499 plasma-11.png 74372513 74513087
grPPiMemory 8 1499 plasma-11.png 36070505 46630542
grPPi 16 1499 plasma-11.png 37956205 38092476
grPPiMemory 16 1499 plasma-11.png 18573320 29086362
grPPi 32 1499 plasma-11.png 18177354 18307101
grPPiMemory 32 1499 plasma-11.png 9507975 20021293
grPPi 64 1499 plasma-11.png 10661677 10791519
grPPiMemory 64 1499 plasma-11.png 5055604 15477897
grPPi 128 1499 plasma-11.png 7893703 8022355
grPPiMemory 128 1499 plasma-11.png 3896341 14408238
grPPi 256 1499 plasma-11.png 7726855 7858388
grPPiMemory 256 1499 plasma-11.png 3093904 13615771
grPPi 1 1499 polaroid-02.png 385693132 385815214
grPPiMemory 1 1499 polaroid-02.png 131977051 142489306
grPPi 2 1499 polaroid-02.png 196651165 196767052
grPPiMemory 2 1499 polaroid-02.png 66363775 77056975
grPPi 4 1499 polaroid-02.png 102727474 102846969
grPPiMemory 4 1499 polaroid-02.png 36918348 47522564
grPPi 8 1499 polaroid-02.png 54608811 54731504
grPPiMemory 8 1499 polaroid-02.png 17570520 28257347
grPPi 16 1499 polaroid-02.png 28017152 28130378
grPPiMemory 16 1499 polaroid-02.png 8645049 19300317
grPPi 32 1499 polaroid-02.png 13873503 13987294
grPPiMemory 32 1499 polaroid-02.png 4420696 14906594
grPPi 64 1499 polaroid-02.png 8407665 8520769
grPPiMemory 64 1499 polaroid-02.png 2507752 12997548
grPPi 128 1499 polaroid-02.png 6427824 6539531
