Program ParDeg inputSize wmName tComputation tTotal
grPPiMemory 4 1499 plasma-11.png 69543404 80190128
parallelFor 8 1499 plasma-11.png 54793007 54956279
parallelForMemory 8 1499 plasma-11.png 31040087 39842145
fastFlow 8 1499 plasma-11.png 55512922 55681073
fastFlowMemory 8 1499 plasma-11.png 35352376 44079294
threads 8 1499 plasma-11.png 58705461 58871702
threadsMemory 8 1499 plasma-11.png 35650950 44479819
grPPi 8 1499 plasma-11.png 74372513 74513087
grPPiMemory 8 1499 plasma-11.png 36070505 46630542
parallelFor 16 1499 plasma-11.png 27489283 27646034
parallelForMemory 16 1499 plasma-11.png 15506969 24296190
fastFlow 16 1499 plasma-11.png 28236131 28395585
fastFlowMemory 16 1499 plasma-11.png 18032741 26806993
threads 16 1499 plasma-11.png 31443044 31602980
threadsMemory 16 1499 plasma-11.png 19340501 28078062
grPPi 16 1499 plasma-11.png 37956205 38092476
grPPiMemory 16 1499 plasma-11.png 18573320 29086362
parallelFor 32 1499 plasma-11.png 13944063 14099745
parallelForMemory 32 1499 plasma-11.png 7818487 16631399
fastFlow 32 1499 plasma-11.png 14392976 14562499
fastFlowMemory 32 1499 plasma-11.png 9355085 18140116
threads 32 1499 plasma-11.png 14885542 15045239
threadsMemory 32 1499 plasma-11.png 9307057 18073689
grPPi 32 1499 plasma-11.png 18177354 18307101
grPPiMemory 32 1499 plasma-11.png 9507975 20021293
parallelFor 64 1499 plasma-11.png 7184076 7344763
parallelForMemory 64 1499 plasma-11.png 4054215 12775205
fastFlow 64 1499 plasma-11.png 7549224 7706724
fastFlowMemory 64 1499 plasma-11.png 5196132 14056947
threads 64 1499 plasma-11.png 9472756 9629281
threadsMemory 64 1499 plasma-11.png 5040039 13796586
grPPi 64 1499 plasma-11.png 10661677 10791519
grPPiMemory 64 1499 plasma-11.png 5055604 15477897
parallelFor 128 1499 plasma-11.png 6428094 6579246
parallelForMemory 128 1499 plasma-11.png 3365770 12180150
fastFlow 128 1499 plasma-11.png 6548076 6710460
fastFlowMemory 128 1499 plasma-11.png 4134625 13011958
threads 128 1499 plasma-11.png 7785748 7943740
threadsMemory 128 1499 plasma-11.png 3767064 12478328
grPPi 128 1499 plasma-11.png 7893703 8022355
grPPiMemory 128 1499 plasma-11.png 3896341 14408238
parallelFor 256 1499 plasma-11.png 7367992 7524856
parallelForMemory 256 1499 plasma-11.png 3075477 11850076
fastFlow 256 1499 plasma-11.png 7521001 7680816
fastFlowMemory 256 1499 plasma-11.png 3843448 12700026
threads 256 1499 plasma-11.png 7482804 7641200
threadsMemory 256 1499 plasma-11.png 3024975 11794939
grPPi 256 1499 plasma-11.png 7726855 7858388
grPPiMemory 256 1499 plasma-11.png 3093904 13615771
sequential 1 1499 polaroid-02.png 330076360 330219013
sequentialMemory 1 1499 polaroid-02.png 119287515 128190708
parallelFor 1 1499 polaroid-02.png 329796962 329942278
parallelForMemory 1 1499 polaroid-02.png 116645169 125399892
fastFlow 1 1499 polaroid-02.png 330275930 330413631
fastFlowMemory 1 1499 polaroid-02.png 132326040 141238093
threads 1 1499 polaroid-02.png 330903629 331044009
threadsMemory 1 1499 polaroid-02.png 130238592 139089579
grPPi 1 1499 polaroid-02.png 385693132 385815214
grPPiMemory 1 1499 polaroid-02.png 131977051 142489306
parallelFor 2 1499 polaroid-02.png 168807578 168951727
parallelForMemory 2 1499 polaroid-02.png 58224711 67105757
fastFlow 2 1499 polaroid-02.png 172907913 173054672
